name,province,city,date,letter,gifts
Ashlee,Prince Edward Island,Charlottetown,2024-11-13,"Hey Santa!

What's up? It's Ashlee here from Charlottetown, Prince Edward Island. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a foldable travel backpack under the tree. Oh, and if you've got room in that sleigh, a Transformers Authentics Optimus Prime would be epic too!

You're the best, big guy!
Ashlee
","foldable travel backpack, Transformers Authentics Optimus Prime"
Elizabeth,Northwest Territories,Yellowknife,2024-12-14,"Dear Santa,

I hope this letter finds you well. My name is Elizabeth, and I live in Yellowknife, Northwest Territories. 
This year, I've been on my best behavior. For Christmas, I would really love a Apple Watch. 
If you can, I would also be thrilled to receive a portable campfire.

Thank you for all the joy you bring!
Sincerely,
Elizabeth
","Apple Watch, portable campfire"
Melissa,British Columbia,Victoria,2024-12-01,"Hi Santa,

I'm Melissa from Victoria, British Columbia. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a LEGO Sets. If it’s not too much trouble, I’d also love a smart home assistant.

Happy Holidays, Santa!
Best wishes,
Melissa
","LEGO Sets, smart home assistant"
Lauren,Manitoba,Brandon,2024-11-18,"Dear S-Claus,

It's your pal Lauren from Brandon, Manitoba. I've been working on my nice game all year.
I'm really hoping for a customizable neon sign this Christmas. And hey, if you're in a giving mood, a electric wine opener would be awesome too!

Thanks for being you!
Lauren
","customizable neon sign, electric wine opener"
Natalie,Nova Scotia,Sydney,2024-12-16,"Dear S-Claus,

It's your pal Natalie from Sydney, Nova Scotia. I've been working on my nice game all year.
I'm really hoping for a personalized leather journal this Christmas. And hey, if you're in a giving mood, a toy car would be awesome too!

Thanks for being you!
Natalie
","personalized leather journal, toy car"
Erika,Yukon,Whitehorse,2024-12-03,"Hello Santa,

My name is Erika, and I come from Whitehorse, Yukon.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a The Clearly Impossible Puzzle. And if it’s possible, I’d also really appreciate a indoor herb garden kit.

Thanks for making Christmas magical!
With gratitude,
Erika
","The Clearly Impossible Puzzle, indoor herb garden kit"
Amanda,British Columbia,Surrey,2024-11-20,"Santa, my main man!

Amanda here, chillin' in Surrey, British Columbia. I've been keeping it real and staying good.
I'm dreaming of unwrapping a 3D printing pen on Christmas morning. And if you're feeling generous, a Amazon Fire HD 10 Kids Pro would be the cherry on top!

You're the GOAT, Santa!
Amanda
","3D printing pen, Amazon Fire HD 10 Kids Pro"
Joseph,British Columbia,Victoria,2024-12-17,"Hey Santa!

What's up? It's Joseph here from Victoria, British Columbia. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a desktop bonsai tree kit under the tree. Oh, and if you've got room in that sleigh, a Our Generation Siberian Husky Plush would be epic too!

You're the best, big guy!
Joseph
","desktop bonsai tree kit, Our Generation Siberian Husky Plush"
Amanda,British Columbia,Surrey,2024-11-20,"Dear Santa Claus,

Hello! My name is Amanda, and I live in Surrey, British Columbia.
I’ve been very kind and helpful this year. For Christmas, I would really like a interactive storybook projector.
It would also make me so happy to have a mini drone if you can manage it.

Thank you so much, Santa!
Yours truly,
Amanda
","interactive storybook projector, mini drone"
Eric,Manitoba,Winnipeg,2024-12-23,"Dear Santa Claus,

Hello! My name is Eric, and I live in Winnipeg, Manitoba.
I’ve been very kind and helpful this year. For Christmas, I would really like a digital art drawing tablet.
It would also make me so happy to have a smartphone tripod if you can manage it.

Thank you so much, Santa!
Yours truly,
Eric
","digital art drawing tablet, smartphone tripod"
Amanda,Newfoundland and Labrador,Gander,2024-12-12,"Hi Santa,

I'm Amanda from Gander, Newfoundland and Labrador. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a Temporary Tattoo Markers Kit. If it’s not too much trouble, I’d also love a multi-tool pocket knife.

Happy Holidays, Santa!
Best wishes,
Amanda
","Temporary Tattoo Markers Kit, multi-tool pocket knife"
Clifford,Northwest Territories,Hay River,2024-11-29,"To Santa Claus,

My name is Clifford, and I live in Hay River, Northwest Territories.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a Apple iPad (10th Generation). And if it’s not too much to ask, I would love a Harry Potter Crookshanks Plush as well.

Thank you so much, Santa!
Warm regards,
Clifford
","Apple iPad (10th Generation), Harry Potter Crookshanks Plush"
Michael,Ontario,Mississauga,2024-12-05,"Santa, my main man!

Michael here, chillin' in Mississauga, Ontario. I've been keeping it real and staying good.
I'm dreaming of unwrapping a Surprise Toy Bath Bombs on Christmas morning. And if you're feeling generous, a personalized leather journal would be the cherry on top!

You're the GOAT, Santa!
Michael
","Surprise Toy Bath Bombs, personalized leather journal"
Natalie,Quebec,Laval,2024-11-08,"Dear Santa Claus,

It’s Natalie here from Laval, Quebec! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a Barbie Dreamhouse.
And if it’s okay, I’d also love a Harry Potter Crookshanks Plush to make the holidays even more special.

Thanks so much, Santa!
Love,
Natalie
","Barbie Dreamhouse, Harry Potter Crookshanks Plush"
James,Yukon,Watson Lake,2024-12-19,"Dear Santa Claus,

James here from Watson Lake, Yukon. I've been working hard on being good this year.
I'm really excited about the possibility of getting a interactive storybook projector. And if it's not too much to ask, a Teenage Mutant Ninja Turtles Figures would be incredible!

Thanks for spreading joy!
James
","interactive storybook projector, Teenage Mutant Ninja Turtles Figures"
Larry,Ontario,Brampton,2024-11-17,"Santa, my main man!

Larry here, chillin' in Brampton, Ontario. I've been keeping it real and staying good.
I'm dreaming of unwrapping a Miniverse Make It Mini Food Kits on Christmas morning. And if you're feeling generous, a teddy bear would be the cherry on top!

You're the GOAT, Santa!
Larry
","Miniverse Make It Mini Food Kits, teddy bear"
Christopher,British Columbia,Surrey,2024-12-02,"Hi Santa,

I'm Christopher from Surrey, British Columbia. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a Miniverse Make It Mini Food Kits. If it’s not too much trouble, I’d also love a retro instant camera.

Happy Holidays, Santa!
Best wishes,
Christopher
","Miniverse Make It Mini Food Kits, retro instant camera"
Michael,Northwest Territories,Hay River,2024-11-23,"Dear Santa Claus,

It’s Michael here from Hay River, Northwest Territories! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a skateboard.
And if it’s okay, I’d also love a Barbie Dreamhouse to make the holidays even more special.

Thanks so much, Santa!
Love,
Michael
","skateboard, Barbie Dreamhouse"
Robert,Nova Scotia,Halifax,2024-11-18,"Dear S-Claus,

It's your pal Robert from Halifax, Nova Scotia. I've been working on my nice game all year.
I'm really hoping for a Skullcandy Dime 2 In-Ear Wireless Earbuds this Christmas. And hey, if you're in a giving mood, a smart fitness tracker would be awesome too!

Thanks for being you!
Robert
","Skullcandy Dime 2 In-Ear Wireless Earbuds, smart fitness tracker"
Shannon,Nova Scotia,Halifax,2024-12-11,"Yo Santa!

Shannon checking in from Halifax, Nova Scotia. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a 3D printing pen. And, if you're feeling extra jolly, a Temporary Tattoo Markers Kit would blow my mind!

Stay frosty!
Shannon
","3D printing pen, Temporary Tattoo Markers Kit"
Ruben,Quebec,Quebec City,2024-11-24,"Hey Santa, what's good?

It's your buddy Ruben from Quebec City, Quebec. I've been trying to keep my cool all year.
I'm really hoping to score a Surprise Toy Bath Bombs this Christmas. And if you've got any magic left, a RC Controlled Paper Airplane Kit would be sick!

Keep sleighing it, Santa!
Ruben
","Surprise Toy Bath Bombs, RC Controlled Paper Airplane Kit"
Jamie,Ontario,Toronto,2024-12-07,"Hi Santa!

Jamie here, waving from Toronto, Ontario. I've been trying my best to be good (most of the time).
I'm really hoping to find a mini drone under the tree. And if there's room in your bag, a Barbie Dreamhouse would be amazing!

Thanks for being awesome!
Jamie
","mini drone, Barbie Dreamhouse"
Paula,Nova Scotia,Sydney,2024-12-05,"Santa, my main man!

Paula here, chillin' in Sydney, Nova Scotia. I've been keeping it real and staying good.
I'm dreaming of unwrapping a smart water bottle on Christmas morning. And if you're feeling generous, a Funko POP! Figures (NBA, MLB, Marvel) would be the cherry on top!

You're the GOAT, Santa!
Paula
","smart water bottle, Funko POP! Figures (NBA, MLB, Marvel)"
Danielle,British Columbia,Burnaby,2024-12-24,"Santa, my main man!

Danielle here, chillin' in Burnaby, British Columbia. I've been keeping it real and staying good.
I'm dreaming of unwrapping a color-changing smart light bulb on Christmas morning. And if you're feeling generous, a smartphone tripod would be the cherry on top!

You're the GOAT, Santa!
Danielle
","color-changing smart light bulb, smartphone tripod"
Devin,Quebec,Laval,2024-11-13,"Dear Santa,

I hope this letter finds you well. My name is Devin, and I live in Laval, Quebec. 
This year, I've been on my best behavior. For Christmas, I would really love a The Clearly Impossible Puzzle. 
If you can, I would also be thrilled to receive a Rechargeable Hand Warmer.

Thank you for all the joy you bring!
Sincerely,
Devin
","The Clearly Impossible Puzzle, Rechargeable Hand Warmer"
Amber,British Columbia,Burnaby,2024-12-13,"To Santa Claus,

My name is Amber, and I live in Burnaby, British Columbia.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a Samsung Galaxy Tab A9+. And if it’s not too much to ask, I would love a LEGO Creator 3-in-1 Mighty Dinosaurs as well.

Thank you so much, Santa!
Warm regards,
Amber
","Samsung Galaxy Tab A9+, LEGO Creator 3-in-1 Mighty Dinosaurs"
Rachel,Ontario,Mississauga,2024-12-08,"Yo Santa!

Rachel checking in from Mississauga, Ontario. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a Electric Candle Lighter. And, if you're feeling extra jolly, a Amazon Fire HD 10 Kids Pro would blow my mind!

Stay frosty!
Rachel
","Electric Candle Lighter, Amazon Fire HD 10 Kids Pro"
Ryan,Newfoundland and Labrador,St. John's,2024-11-08,"Hi Santa,

I'm Ryan from St. John's, Newfoundland and Labrador. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a smart fitness tracker. If it’s not too much trouble, I’d also love a Furby Furblets.

Happy Holidays, Santa!
Best wishes,
Ryan
","smart fitness tracker, Furby Furblets"
Gregory,Newfoundland and Labrador,Gander,2024-12-21,"Hi Santa,

I'm Gregory from Gander, Newfoundland and Labrador. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a portable campfire. If it’s not too much trouble, I’d also love a customizable neon sign.

Happy Holidays, Santa!
Best wishes,
Gregory
","portable campfire, customizable neon sign"
Amy,Nova Scotia,Halifax,2024-12-09,"Dear Santa Claus,

Amy here from Halifax, Nova Scotia. I've been working hard on being good this year.
I'm really excited about the possibility of getting a Apple iPad (10th Generation). And if it's not too much to ask, a ElectroCubes Nightlight Building Set would be incredible!

Thanks for spreading joy!
Amy
","Apple iPad (10th Generation), ElectroCubes Nightlight Building Set"
Tonya,Nova Scotia,Halifax,2024-11-27,"Hello Santa,

My name is Tonya, and I come from Halifax, Nova Scotia.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a The Clearly Impossible Puzzle. And if it’s possible, I’d also really appreciate a Barbie Dreamhouse.

Thanks for making Christmas magical!
With gratitude,
Tonya
","The Clearly Impossible Puzzle, Barbie Dreamhouse"
Vanessa,British Columbia,Surrey,2024-11-14,"Hello Santa,

My name is Vanessa, and I come from Surrey, British Columbia.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a noise-cancelling headphones. And if it’s possible, I’d also really appreciate a vintage-style typewriter keyboard.

Thanks for making Christmas magical!
With gratitude,
Vanessa
","noise-cancelling headphones, vintage-style typewriter keyboard"
Joseph,Alberta,Edmonton,2024-12-14,"Dear Santa Claus,

Hello! My name is Joseph, and I live in Edmonton, Alberta.
I’ve been very kind and helpful this year. For Christmas, I would really like a LEGO Creator 3-in-1 Mighty Dinosaurs.
It would also make me so happy to have a e.l.f. Halo Glow Liquid Filter if you can manage it.

Thank you so much, Santa!
Yours truly,
Joseph
","LEGO Creator 3-in-1 Mighty Dinosaurs, e.l.f. Halo Glow Liquid Filter"
Tara,Manitoba,Steinbach,2024-12-03,"Dear S-Claus,

It's your pal Tara from Steinbach, Manitoba. I've been working on my nice game all year.
I'm really hoping for a retro instant camera this Christmas. And hey, if you're in a giving mood, a wireless charging pad would be awesome too!

Thanks for being you!
Tara
","retro instant camera, wireless charging pad"
Andrew,Yukon,Dawson City,2024-11-11,"Hey Santa!

What's up? It's Andrew here from Dawson City, Yukon. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a Squishmallows (Hello Kitty, Piplup, Adopt Me! Queen Bee) under the tree. Oh, and if you've got room in that sleigh, a Yellow Dress-Up Set would be epic too!

You're the best, big guy!
Andrew
","Squishmallows (Hello Kitty, Piplup, Adopt Me! Queen Bee), Yellow Dress-Up Set"
Erin,New Brunswick,Fredericton,2024-11-20,"Hey Santa!

What's up? It's Erin here from Fredericton, New Brunswick. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a scratch-off world map under the tree. Oh, and if you've got room in that sleigh, a e.l.f. Halo Glow Liquid Filter would be epic too!

You're the best, big guy!
Erin
","scratch-off world map, e.l.f. Halo Glow Liquid Filter"
Jennifer,Ontario,Mississauga,2024-11-17,"Yo Santa!

Jennifer checking in from Mississauga, Ontario. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a lego set. And, if you're feeling extra jolly, a indoor herb garden kit would blow my mind!

Stay frosty!
Jennifer
","lego set, indoor herb garden kit"
Lucas,British Columbia,Burnaby,2024-11-04,"Hey Santa, what's good?

It's your buddy Lucas from Burnaby, British Columbia. I've been trying to keep my cool all year.
I'm really hoping to score a vintage-style typewriter keyboard this Christmas. And if you've got any magic left, a bicycle would be sick!

Keep sleighing it, Santa!
Lucas
","vintage-style typewriter keyboard, bicycle"
Melissa,New Brunswick,Moncton,2024-11-06,"Santa, my main man!

Melissa here, chillin' in Moncton, New Brunswick. I've been keeping it real and staying good.
I'm dreaming of unwrapping a skateboard on Christmas morning. And if you're feeling generous, a Funko POP! Figures (NBA, MLB, Marvel) would be the cherry on top!

You're the GOAT, Santa!
Melissa
","skateboard, Funko POP! Figures (NBA, MLB, Marvel)"
Dean,Quebec,Montreal,2024-12-24,"Hey Santa, what's good?

It's your buddy Dean from Montreal, Quebec. I've been trying to keep my cool all year.
I'm really hoping to score a color-changing smart light bulb this Christmas. And if you've got any magic left, a eco-friendly reusable notebook would be sick!

Keep sleighing it, Santa!
Dean
","color-changing smart light bulb, eco-friendly reusable notebook"
Christine,Ontario,Brampton,2024-11-23,"To Santa Claus,

My name is Christine, and I live in Brampton, Ontario.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a heated blanket with remote. And if it’s not too much to ask, I would love a color-changing smart light bulb as well.

Thank you so much, Santa!
Warm regards,
Christine
","heated blanket with remote, color-changing smart light bulb"
Michael,Quebec,Quebec City,2024-12-08,"Dear Santa Claus,

Michael here from Quebec City, Quebec. I've been working hard on being good this year.
I'm really excited about the possibility of getting a personalized leather journal. And if it's not too much to ask, a digital art drawing tablet would be incredible!

Thanks for spreading joy!
Michael
","personalized leather journal, digital art drawing tablet"
David,Ontario,Mississauga,2024-11-23,"Dear S-Claus,

It's your pal David from Mississauga, Ontario. I've been working on my nice game all year.
I'm really hoping for a heated blanket with remote this Christmas. And hey, if you're in a giving mood, a mechanical keyboard would be awesome too!

Thanks for being you!
David
","heated blanket with remote, mechanical keyboard"
Sandra,Nunavut,Iqaluit,2024-11-11,"To Santa Claus,

My name is Sandra, and I live in Iqaluit, Nunavut.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a Rainbow Loom Charm Bracelet Kit. And if it’s not too much to ask, I would love a mini espresso maker as well.

Thank you so much, Santa!
Warm regards,
Sandra
","Rainbow Loom Charm Bracelet Kit, mini espresso maker"
Zachary,Yukon,Whitehorse,2024-12-02,"Yo Santa!

Zachary checking in from Whitehorse, Yukon. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a Transformers Authentics Optimus Prime. And, if you're feeling extra jolly, a indoor herb garden kit would blow my mind!

Stay frosty!
Zachary
","Transformers Authentics Optimus Prime, indoor herb garden kit"
Joseph,New Brunswick,Saint John,2024-11-24,"Santa, my dude!

Joseph here, repping Saint John, New Brunswick. I've been good(ish) this year, promise!
I'm crossing my fingers for a electric wine opener. And if you're feeling extra magical, a Yellow Dress-Up Set would make my year!

You rock, Santa!
Joseph
","electric wine opener, Yellow Dress-Up Set"
Katherine,New Brunswick,Moncton,2024-12-05,"Yo Santa!

Katherine checking in from Moncton, New Brunswick. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a Minnie Mouse Hat and Mittens. And, if you're feeling extra jolly, a wireless gaming mouse would blow my mind!

Stay frosty!
Katherine
","Minnie Mouse Hat and Mittens, wireless gaming mouse"
Kathy,Nunavut,Rankin Inlet,2024-12-15,"Dear Santa Claus,

Hello! My name is Kathy, and I live in Rankin Inlet, Nunavut.
I’ve been very kind and helpful this year. For Christmas, I would really like a LEGO Star Wars Set.
It would also make me so happy to have a LEGO Sets if you can manage it.

Thank you so much, Santa!
Yours truly,
Kathy
","LEGO Star Wars Set, LEGO Sets"
Mariah,Ontario,Brampton,2024-11-14,"Hi there, Santa!

It's Mariah from Brampton, Ontario. I've been trying my best to stay on the nice list.
I'm really wishing for a Electric Candle Lighter this year. And if it's not too much, a Live Christmas Tree (Norfolk Island Pine) would be amazing too!

Thanks for all you do!
Mariah
","Electric Candle Lighter, Live Christmas Tree (Norfolk Island Pine)"
Kyle,Quebec,Montreal,2024-11-03,"Santa, my dude!

Kyle here, repping Montreal, Quebec. I've been good(ish) this year, promise!
I'm crossing my fingers for a customizable neon sign. And if you're feeling extra magical, a LEGO Creator 3-in-1 Mighty Dinosaurs would make my year!

You rock, Santa!
Kyle
","customizable neon sign, LEGO Creator 3-in-1 Mighty Dinosaurs"
Douglas,Quebec,Gatineau,2024-11-22,"Dear Santa Claus,

Hello! My name is Douglas, and I live in Gatineau, Quebec.
I’ve been very kind and helpful this year. For Christmas, I would really like a portable karaoke microphone.
It would also make me so happy to have a scratch-off world map if you can manage it.

Thank you so much, Santa!
Yours truly,
Douglas
","portable karaoke microphone, scratch-off world map"
Edward,Newfoundland and Labrador,Corner Brook,2024-12-09,"Dear Santa,

I hope this letter finds you well. My name is Edward, and I live in Corner Brook, Newfoundland and Labrador. 
This year, I've been on my best behavior. For Christmas, I would really love a Amazon Fire HD 10 Kids Pro. 
If you can, I would also be thrilled to receive a doll.

Thank you for all the joy you bring!
Sincerely,
Edward
","Amazon Fire HD 10 Kids Pro, doll"
Diana,Newfoundland and Labrador,St. John's,2024-11-06,"Dear Santa Claus,

Hello! My name is Diana, and I live in St. John's, Newfoundland and Labrador.
I’ve been very kind and helpful this year. For Christmas, I would really like a 5 Surprise NBA Ballers.
It would also make me so happy to have a Teenage Mutant Ninja Turtles Figures if you can manage it.

Thank you so much, Santa!
Yours truly,
Diana
","5 Surprise NBA Ballers, Teenage Mutant Ninja Turtles Figures"
Mark,Nova Scotia,Halifax,2024-11-30,"Dear Santa,

I hope this letter finds you well. My name is Mark, and I live in Halifax, Nova Scotia. 
This year, I've been on my best behavior. For Christmas, I would really love a book. 
If you can, I would also be thrilled to receive a ALEX Glow Sketch It Nail Pens.

Thank you for all the joy you bring!
Sincerely,
Mark
","book, ALEX Glow Sketch It Nail Pens"
Barbara,Northwest Territories,Hay River,2024-12-05,"Dear S-Claus,

It's your pal Barbara from Hay River, Northwest Territories. I've been working on my nice game all year.
I'm really hoping for a doll this Christmas. And hey, if you're in a giving mood, a Small Stoneware Vase would be awesome too!

Thanks for being you!
Barbara
","doll, Small Stoneware Vase"
Mark,Quebec,Gatineau,2024-12-18,"Yo Santa!

Mark checking in from Gatineau, Quebec. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a portable campfire. And, if you're feeling extra jolly, a customized photo puzzle would blow my mind!

Stay frosty!
Mark
","portable campfire, customized photo puzzle"
Aaron,Quebec,Gatineau,2024-12-23,"Dear Santa Claus,

Aaron here from Gatineau, Quebec. I've been working hard on being good this year.
I'm really excited about the possibility of getting a Teenage Mutant Ninja Turtles Figures. And if it's not too much to ask, a Small Stoneware Vase would be incredible!

Thanks for spreading joy!
Aaron
","Teenage Mutant Ninja Turtles Figures, Small Stoneware Vase"
Julie,Manitoba,Steinbach,2024-12-08,"Santa, my dude!

Julie here, repping Steinbach, Manitoba. I've been good(ish) this year, promise!
I'm crossing my fingers for a RC Controlled Paper Airplane Kit. And if you're feeling extra magical, a mechanical keyboard would make my year!

You rock, Santa!
Julie
","RC Controlled Paper Airplane Kit, mechanical keyboard"
Patrick,British Columbia,Vancouver,2024-11-02,"Santa, my dude!

Patrick here, repping Vancouver, British Columbia. I've been good(ish) this year, promise!
I'm crossing my fingers for a lego set. And if you're feeling extra magical, a scratch-off world map would make my year!

You rock, Santa!
Patrick
","lego set, scratch-off world map"
Lisa,British Columbia,Surrey,2024-12-14,"Hi Santa!

Lisa here, waving from Surrey, British Columbia. I've been trying my best to be good (most of the time).
I'm really hoping to find a ElectroCubes Nightlight Building Set under the tree. And if there's room in your bag, a foldable travel backpack would be amazing!

Thanks for being awesome!
Lisa
","ElectroCubes Nightlight Building Set, foldable travel backpack"
Timothy,Ontario,Ottawa,2024-12-20,"Dear Santa Claus,

It’s Timothy here from Ottawa, Ontario! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a book.
And if it’s okay, I’d also love a interactive storybook projector to make the holidays even more special.

Thanks so much, Santa!
Love,
Timothy
","book, interactive storybook projector"
Erin,Ontario,Mississauga,2024-12-03,"Hello Santa,

My name is Erin, and I come from Mississauga, Ontario.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a Wake Up Light Sunrise Alarm Clock. And if it’s possible, I’d also really appreciate a Transformers Authentics Optimus Prime.

Thanks for making Christmas magical!
With gratitude,
Erin
","Wake Up Light Sunrise Alarm Clock, Transformers Authentics Optimus Prime"
Kathryn,Yukon,Dawson City,2024-11-24,"To Santa Claus,

My name is Kathryn, and I live in Dawson City, Yukon.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a robot. And if it’s not too much to ask, I would love a LEGO Batman Mech Armor as well.

Thank you so much, Santa!
Warm regards,
Kathryn
","robot, LEGO Batman Mech Armor"
Casey,Quebec,Montreal,2024-12-13,"Hey Santa!

What's up? It's Casey here from Montreal, Quebec. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a desktop air purifier under the tree. Oh, and if you've got room in that sleigh, a Our Generation Siberian Husky Plush would be epic too!

You're the best, big guy!
Casey
","desktop air purifier, Our Generation Siberian Husky Plush"
Jeffrey,Manitoba,Brandon,2024-12-15,"Yo Santa!

Jeffrey checking in from Brandon, Manitoba. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a magnetic levitating globe. And, if you're feeling extra jolly, a scratch-off world map would blow my mind!

Stay frosty!
Jeffrey
","magnetic levitating globe, scratch-off world map"
Eric,Nunavut,Rankin Inlet,2024-12-18,"Hey Santa!

What's up? It's Eric here from Rankin Inlet, Nunavut. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a solar-powered phone charger under the tree. Oh, and if you've got room in that sleigh, a Wake Up Light Sunrise Alarm Clock would be epic too!

You're the best, big guy!
Eric
","solar-powered phone charger, Wake Up Light Sunrise Alarm Clock"
Teresa,Nova Scotia,Sydney,2024-11-15,"To Santa Claus,

My name is Teresa, and I live in Sydney, Nova Scotia.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a Apple iPad (10th Generation). And if it’s not too much to ask, I would love a multi-tool pocket knife as well.

Thank you so much, Santa!
Warm regards,
Teresa
","Apple iPad (10th Generation), multi-tool pocket knife"
Adrian,Quebec,Laval,2024-11-11,"Hi Santa,

I'm Adrian from Laval, Quebec. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a X-Shot Excel Reflex 6 Blaster. If it’s not too much trouble, I’d also love a teddy bear.

Happy Holidays, Santa!
Best wishes,
Adrian
","X-Shot Excel Reflex 6 Blaster, teddy bear"
James,Yukon,Watson Lake,2024-12-23,"Hello Santa,

My name is James, and I come from Watson Lake, Yukon.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a magnetic levitating globe. And if it’s possible, I’d also really appreciate a Rechargeable Hand Warmer.

Thanks for making Christmas magical!
With gratitude,
James
","magnetic levitating globe, Rechargeable Hand Warmer"
Dominique,Nova Scotia,Halifax,2024-12-13,"Hi Santa!

Dominique here, waving from Halifax, Nova Scotia. I've been trying my best to be good (most of the time).
I'm really hoping to find a wireless charging pad under the tree. And if there's room in your bag, a Samsung Galaxy Tab A9+ would be amazing!

Thanks for being awesome!
Dominique
","wireless charging pad, Samsung Galaxy Tab A9+"
Tina,Prince Edward Island,Charlottetown,2024-11-25,"Dear S-Claus,

It's your pal Tina from Charlottetown, Prince Edward Island. I've been working on my nice game all year.
I'm really hoping for a color-changing smart light bulb this Christmas. And hey, if you're in a giving mood, a art supplies would be awesome too!

Thanks for being you!
Tina
","color-changing smart light bulb, art supplies"
Morgan,British Columbia,Vancouver,2024-12-19,"To Santa Claus,

My name is Morgan, and I live in Vancouver, British Columbia.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a portable bluetooth speaker. And if it’s not too much to ask, I would love a compact sewing machine as well.

Thank you so much, Santa!
Warm regards,
Morgan
","portable bluetooth speaker, compact sewing machine"
Megan,Alberta,Calgary,2024-12-12,"To Santa Claus,

My name is Megan, and I live in Calgary, Alberta.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a Out to Impress Jewelry Set. And if it’s not too much to ask, I would love a virtual reality headset as well.

Thank you so much, Santa!
Warm regards,
Megan
","Out to Impress Jewelry Set, virtual reality headset"
Jason,Ontario,Brampton,2024-11-23,"Dear Santa Claus,

Hello! My name is Jason, and I live in Brampton, Ontario.
I’ve been very kind and helpful this year. For Christmas, I would really like a book.
It would also make me so happy to have a programmable LED message board if you can manage it.

Thank you so much, Santa!
Yours truly,
Jason
","book, programmable LED message board"
Zachary,Alberta,Calgary,2024-12-24,"Hey Santa, what's good?

It's your buddy Zachary from Calgary, Alberta. I've been trying to keep my cool all year.
I'm really hoping to score a LEGO Sets this Christmas. And if you've got any magic left, a Harry Potter Wand would be sick!

Keep sleighing it, Santa!
Zachary
","LEGO Sets, Harry Potter Wand"
Carrie,New Brunswick,Fredericton,2024-11-04,"Hey Santa!

What's up? It's Carrie here from Fredericton, New Brunswick. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a portable bluetooth speaker under the tree. Oh, and if you've got room in that sleigh, a Harry Potter Wand would be epic too!

You're the best, big guy!
Carrie
","portable bluetooth speaker, Harry Potter Wand"
Tracy,Newfoundland and Labrador,St. John's,2024-12-07,"To Santa Claus,

My name is Tracy, and I live in St. John's, Newfoundland and Labrador.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a solar-powered phone charger. And if it’s not too much to ask, I would love a Nintendo Switch Game as well.

Thank you so much, Santa!
Warm regards,
Tracy
","solar-powered phone charger, Nintendo Switch Game"
Jared,Newfoundland and Labrador,St. John's,2024-12-13,"Yo Santa!

Jared checking in from St. John's, Newfoundland and Labrador. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a Furby Furblets. And, if you're feeling extra jolly, a Teenage Mutant Ninja Turtles Figures would blow my mind!

Stay frosty!
Jared
","Furby Furblets, Teenage Mutant Ninja Turtles Figures"
